"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00124503","Support Team","","Igor Gubernat","Pacific Coast Feather Company","Google + add to ""share this Product""","5.1.5","Feature Request/ Disable (No-Design)","5.1.5","3/4/2012","C2","Closed","2.00","2.250","2.500"
"00124430","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","HarleyDavidson: Migrate UI version to 5.0","5.1.1","","","3/4/2012","C4","Closed","3.00","0.000","3.000"
"00123818","Support Team","","Igor Gubernat","Bazaarvoice","Migrate Costco to 5.0","5.1.0","Invalid","","3/4/2012","C4","Closed","2.00","0.000","3.000"
"00123451","Strategic  Integration","PIE","Igor Gubernat","Skullcandy, Inc.","PIE for Skullcandy","5.4.0","","","4/4/2012","","Closed","4.00","0.000","0.250"
"00123413","Support Team","","Igor Gubernat","Olay (P&G APAC)","Olay AU","5.1.3","Text Change","5.1.3","3/30/2012","C5","In Progress","1.00","0.750","1.250"
"00123398","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Customer Investigation","5.0.13","","","3/4/2012","C4","Closed","","0.000","17.000"
"00123149","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","hof-en (PRR) : Found While Testing BVC-112300","5.0.13","","","3/4/2012","C4","Closed","0.50","0.000","0.250"
"00123151","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Anneklein: TS issues","5.0.13","","","3/4/2012","C4","Closed","4.00","0.000","4.000"
"00122807","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","hof-en - UI migration 4.8 -> 5.0","5.0.12","","","3/4/2012","C4","Closed","2.50","0.000","2.500"
"00122667","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","webroot - UI migration 4.7 -> 5.0","5.0.12","","","3/4/2012","C4","Closed","2.50","0.000","2.500"
"00121846","Support Team","","Igor Gubernat","Bazaarvoice","Territoryahead (R&R): TS issues","5.0.11","QA Ticket","","3/4/2012","C4","Closed","2.00","0.000","2.750"
"00121845","Support Team","","Igor Gubernat","Bazaarvoice","Behr (PRR,Stories): Test results of testing on Production(4.8.x)","5.0.10","QA Ticket","5.0.10","3/4/2012","C4","Closed","1.00","0.000","1.000"
"00121839","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Byggmax (PRR): Major Release Testing on Production","5.2.0","QA Ticket","","3/6/2012","C4","Closed","2.00","0.000","0.750"
"00121768","Support Team","","Igor Gubernat","Elkjøp AS (part of DSGI)","Replace Google Buzz with Google+","5.0.10","Minor UI Change","5.0.10","3/4/2012","C5","Closed","2.00","0.000","2.500"
"00121746","Strategic  Integration","PIE","Igor Gubernat","Canon Australia","Request for Bazaarvoice to implement the White label PIE Solution","5.5.1","","","4/27/2012","C5","In Progress","","0.750","1.500"
"00121385","Strategic  Integration","PIE","Igor Gubernat","Fujitsu America","PIE for fujitsu","5.0.13","","","3/4/2012","C4","Closed","6.00","0.000","11.000"
"00120827","Support Team","","Igor Gubernat","Schlage","Schlage: configure response email for social alerts","5.0.10","Invalid","5.0.10","3/4/2012","","Closed","1.00","0.000","1.000"
"00132816","Strategic  Integration","UI Migration","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Cleanclear: UI migration 4.8 -> 5.3","","","","4/27/2012","C4","In Progress","2.50","0.000","2.000"
"00132675","Support Team","","Iryna Zavalyshyna","Energizer Holdings, Inc.","IE8 Drop-Down Formatting Issue","","Feature Request/ Disable (No-Design)","","5/2/2012","","In Progress","","0.500","1.500"
"00132595","Support Team","","Iryna Zavalyshyna","Motosport","web page hosting","5.6.0","Feature Request/ Disable (No-Design)","","4/27/2012","C1","Ready for Release","2.00","0.500","1.250"
"00132561","Support Team","","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Life is good: SCI request","5.5.1","SCI","","4/26/2012","C4","Closed","1.50","0.000","1.500"
"00132560","Support Team","","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Quicken: SCI request","5.5.1","SCI","","4/26/2012","C4","Closed","1.50","0.000","1.500"
"00132559","Strategic  Integration","UI Migration","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Listerine: UI migration 4.8 -> 5.3","","","","4/26/2012","C4","Ready for Release","3.50","0.000","3.000"
"00132564","Strategic  Integration","UI Migration","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Quicken: UI migration 4.8 -> 5.3","5.5.1","","","4/26/2012","C4","Closed","2.00","0.000","1.500"
"00132089","Strategic  Integration","UI Migration","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Qwest: UI migration 4.7 -> 5.3","5.5.0","","","4/19/2012","C4","Closed","2.00","0.000","1.500"
"00132091","Strategic  Integration","UI Migration","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Visine: UI migration 4.8 -> 5.3","5.5.1","","","4/26/2012","C4","Closed","2.00","0.000","3.500"
"00131626","Support Team","","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Pampers: SCI request","5.4.1","SCI","","4/13/2012","C4","Closed","1.50","0.250","1.500"
"00131625","Support Team","","Iryna Zavalyshyna","Bazaarvoice","INTERNAL Christianbook: SCI request","5.4.1","SCI","","4/13/2012","C4","Closed","1.50","0.000","3.250"
"00131281","Support Team","","Iryna Zavalyshyna","PETCO","cancel feed to pricegrabber","5.4.1","Feature Request/ Disable (No-Design)","","4/13/2012","C4","Closed","1.00","0.500","1.000"
